species,LQTs_nas,Seed_Mass_na,SeedMass,n.x,area.x,history.x,LA,SLA,LDMC,desc(LQTs_nas)
Festuca_valesiaca,3,0,-0.13926207,361,4,perennial,NA,NA,NA,-3
Potentilla_incana,3,1,NA,331,4,perennial,NA,NA,NA,-3
Veronica_sublobata,3,0,-2.04022083,254,8a,annual,NA,NA,NA,-3
Seseli_osseum,3,1,NA,195,5,perennial,NA,NA,NA,-3
Dianthus_pontederae,3,1,NA,181,5,perennial,NA,NA,NA,-3
Minuartia_rubra,3,0,-2.40794561,160,6,short-lived_perennial,NA,NA,NA,-3
Gagea_pusilla,3,1,NA,158,4,perennial,NA,NA,NA,-3
Buglossoides_incrassata,3,1,NA,143,2,annual,NA,NA,NA,-3
Ranunculus_illyricus,3,0,-0.77652879,117,2,perennial,NA,NA,NA,-3
Arabis_auriculata,3,1,NA,94,2,annual,NA,NA,NA,-3
Allium_flavum,3,0,_0.31481074,92,5,perennial,NA,NA,NA,-3
Microthlaspi_perfoliatum,3,0,-0.57981850,87,2,annual,NA,NA,NA,-3
Elymus_hispidus,3,0,_1.53471437,63,2,perennial,NA,NA,NA,-3
Carex_supina,3,1,NA,57,4,perennial,NA,NA,NA,-3
Veronica_arvensis,3,0,-1.60943791,40,2,annual,NA,NA,NA,-3
Hesperis_tristis,3,1,NA,34,5,short-lived_perennial,NA,NA,NA,-3
Veronica_prostrata,3,1,NA,20,4,perennial,NA,NA,NA,-3
Iris_pumila,3,0,_3.19417321,19,4,perennial,NA,NA,NA,-3
Festuca_csikhegyensis,3,1,NA,14,5,perennial,NA,NA,NA,-3
Erophila_spathulata,3,1,NA,9,NA,annual,NA,NA,NA,-3
Poa_badensis,3,0,-1.13943428,8,5,perennial,NA,NA,NA,-3
Festuca_rupicola,3,0,-0.75502258,3,NA,perennial,NA,NA,NA,-3
Jovibarba_globifera,3,0,-2.30258509,3,5,perennial,NA,NA,NA,-3
Carex_praecox,2,1,NA,82,4,perennial,NA,16.05,NA,-2
Euphorbia_cyparissias,2,0,_0.67803354,13,10,perennial,NA,22.57,NA,-2
Medicago_minima,1,0,-0.09431068,665,1,annual,NA,26.57,250.5,-1
Inula_oculus-christi,1,1,NA,33,5,perennial,7.47763252334069,13.84,NA,-1
Teucrium_chamaedrys,0,0,-1.66073121,709,1,perennial,2.54396141256932,13.77,240.58,-0
Arenaria_serpyllifolia,0,0,-2.52572864,681,10,annual,2.57870052907436,19.39,219.18,-0
Sedum_album,0,0,-3.50655790,555,1,perennial,3.15700042115011,15.08,49.96,-0
Echium_vulgare,0,0,_1.08856195,541,10,short-lived_perennial,8.41693076947784,14.45,142,-0
Acinos_arvensis,0,0,-0.46203546,529,8a,short-lived_perennial,5.54024341716161,19.24,235.3,-0
Alyssum_alyssoides,0,0,-0.54472718,455,5,short-lived_perennial,3.1730412885244,21.48,207.38,-0
Melica_ciliata,0,0,-0.15082289,338,5,perennial,5.31826704185566,17.04,506.78,-0
Lamium_amplexicaule,0,0,-0.52763274,318,1,annual,5.11799381241676,19.7,135,-0
Arrhenatherum_elatius,0,0,_1.12817109,314,8a,perennial,7.10906213568717,28.25,291.32,-0
Centaurea_stoebe,0,0,_0.48858001,290,5,short-lived_perennial,6.12400482373927,22.72,164.77,-0
Verbascum_lychnitis,0,0,-2.04022083,275,5,short-lived_perennial,5.0217071080633104,25.75,134.54,-0
Phleum_phleoides,0,0,-1.77195684,258,4,perennial,5.77687802972675,17.52,319.39,-0
Bromus_japonicus,0,0,_0.94778940,252,2,annual,6.02223620577474,27.91,286.45,-0
Erodium_cicutarium,0,0,_0.35065687,246,1,annual,7.46307614263468,25.58,201.4,-0
Lepidium_campestre,0,0,_0.77932488,211,8a,short-lived_perennial,6.0318864616069,25.31,206.8,-0
Veronica_praecox,0,1,NA,170,5,annual,4.0943445622221,20.55,191.06,-0
Trifolium_arvense,0,0,-1.07880966,150,1,annual,5.19667216278584,27.08,250.25,-0
Geranium_pusillum,0,0,-0.21072103,149,2,short-lived_perennial,7.54890892004014,25.5,201.67,-0
Lappula_squarrosa,0,0,_0.27002714,101,4,annual,6.5410299991899,30.41,127.55,-0
Koeleria_macrantha,0,0,-1.27296568,98,10,perennial,6.11809719804135,11.81,327,-0
Artemisia_absinthium,0,0,-2.12026354,96,10,perennial,7.81419767480148,30.36,220.5,-0
Camelina_microcarpa,0,0,-1.10866262,93,10,annual,6.09187533303989,19.99,147.78,-0
Holosteum_umbellatum,0,0,-2.40794561,83,2,annual,3.59731226058845,35.75,154.25,-0
Bromus_tectorum,0,0,_1.11841492,72,2,annual,6.58479139238572,35.03,151.45,-0
Galium_glaucum,0,0,_0.16551444,63,5,perennial,3.62434093297637,14.04,198.67,-0
Convolvulus_arvensis,0,0,_2.52572864,54,10,perennial,7.02531606772128,28.39,172.5,-0
Achillea_collina,0,0,-1.89711998,51,5,perennial,6.94455961350419,17.4,190.87,-0
Poa_bulbosa,0,0,-0.89159812,42,2,perennial,2.77757626375082,21.09,215.06,-0
Saxifraga_tridactylites,0,0,-3.91202301,42,NA,annual,3.63758615972639,23.07,117.88,-0
Taraxacum_sect._Erythrosperma,0,1,NA,38,2,perennial,4.89783979995091,15.68,305.71,-0
Anthriscus_cerefolium,0,0,_0.83724752,25,2,annual,6.29848958240289,54.03,167.26,-0
Valerianella_locusta,0,0,-2.04022083,24,1,annual,9.82007876931482,13.78,205.68,-0
Artemisia_campestris,0,0,-1.96611286,21,4,perennial,5.17190344169238,16.85,214.69,-0
Lotus_corniculatus,0,0,_0.34358970,20,8d,perennial,4.88280192258637,23.65,186,-0
Trifolium_campestre,0,0,-0.28768207,20,1,short-lived_perennial,5.02388052084628,31.7,103,-0
Galium_verum,0,0,-0.65392647,19,10,perennial,2.75174805636793,20.79,228.13,-0
Poa_angustifolia,0,0,-1.51412773,17,10,perennial,6.06262174142431,15.55,424.5,-0
Tragopogon_dubius,0,0,-1.07880966,12,2,short-lived_perennial,5.4510384535657,18.21,296.07,-0
Scabiosa_ochroleuca,0,0,_0.39204209,11,4,perennial,6.05443934626937,11.63,248.94,-0
Fragaria_viridis,0,0,-0.94160854,10,10,perennial,6.85343635937183,17.05,327.33,-0
Senecio_vulgaris,0,0,-1.27296568,10,10,annual,6.24027584517077,29.82,84,-0
Thymus_praecox,0,0,_2.11021320,10,5,perennial,5.77299754367767,27.03,198.33,-0
Erysimum_odoratum,0,0,-1.34707365,9,8d,short-lived_perennial,5.26009615372784,17.83,154.62,-0
Veronica_verna,0,0,_2.00552586,7,10,annual,7.32218012846177,53.6,159.42,-0
Myosotis_arvensis,0,0,-1.20397280,5,10,annual,6.63266032203583,29.38,123,-0
Medicago_lupulina,0,0,_0.58221562,3,10,annual,6.23309613653432,27.24,196,-0
Hypericum_perforatum,0,0,-2.04022083,2,NA,perennial,4.99267496871926,26.06,303,-0
Securigera_varia,0,0,_1.67709656,2,NA,annual,7.30429399849595,30.31,168.11,-0
Vincetoxicum_hirundinaria,0,0,-1.04982212,2,4,perennial,5.75336597484503,20.41,164.94,-0
Odontites_vernus,0,0,-1.51412773,1,NA,annual,5.04342511691925,19.77,203.33,-0
