species,individual,leaf,length(cm),width
Gagea pusilla,1,1,"11,3",
Gagea pusilla,1,2,"10,6",
Gagea pusilla,1,3,"10,5",
Gagea pusilla,1,4,"9,5",
Gagea pusilla,2,1,"8,8",
Gagea pusilla,2,2,"8,8",
Gagea pusilla,2,3,"6,3",
Gagea pusilla,2,4,,
Gagea pusilla,3,1,8,
Gagea pusilla,3,2,"6,4",
Gagea pusilla,3,3,"7,5",
Gagea pusilla,3,4,"7,2",
Gagea pusilla,4,1,"6,9",
Gagea pusilla,4,2,"7,2",
Gagea pusilla,4,3,"7,3",
Gagea pusilla,4,4,"7,4",
Gagea pusilla,5,1,"10,6",
Gagea pusilla,5,2,"11,4",
Gagea pusilla,5,3,11,
Gagea pusilla,5,4,"11,3",
Gagea pusilla,6,1,"7,5",
Gagea pusilla,6,2,"5,2",
Gagea pusilla,6,3,"4,5",
Gagea pusilla,6,4,,
Gagea pusilla,7,1,"8,3",
Gagea pusilla,7,2,"7,2",
Gagea pusilla,7,3,"6,7",
Gagea pusilla,7,4,,
Gagea pusilla,8,1,"6,1",
Gagea pusilla,8,2,"6,7",
Gagea pusilla,8,3,"6,6",
Gagea pusilla,8,4,"7,9",
Gagea pusilla,9,1,"8,2",
Gagea pusilla,9,2,7,
Gagea pusilla,9,3,"7,15",
Gagea pusilla,9,4,,
Gagea pusilla,10,1,8,
Gagea pusilla,10,2,"8,1",
Gagea pusilla,10,3,"6,6",
Gagea pusilla,10,4,"7,9",
